Date,Symbol,SecurityName,ClientName,Buy/Sell,QuantityTraded,TradePrice/Wght.Avg.Price,Remarks
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,VINSUL MAKARDI LTD,SELL,"1,69,688",348.07,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,VINSUL MAKARDI LTD,BUY,"1,69,688",347.43,-
29-JUN-2026,BANG,Bang Overseas Limited,IMC INDIA SECURITIES PRIVATE LIMITED,SELL,"31,327",27.41,-
29-JUN-2026,BANG,Bang Overseas Limited,IMC INDIA SECURITIES PRIVATE LIMITED,BUY,"78,885",27.13,-
29-JUN-2026,BANG,Bang Overseas Limited,NEO APEX SHARE BROKING SERVICES LLP,SELL,"70,367",27.04,-
29-JUN-2026,BANG,Bang Overseas Limited,NEO APEX SHARE BROKING SERVICES LLP,BUY,"70,367",26.06,-
29-JUN-2026,BANG,Bang Overseas Limited,NISHANT PITTI,SELL,"5,37,776",27.02,-
29-JUN-2026,BANG,Bang Overseas Limited,SHARE INDIA SECURITIES LIMITED,BUY,"77,854",27.05,-
29-JUN-2026,BANG,Bang Overseas Limited,SHARE INDIA SECURITIES LIMITED,SELL,"78,854",27.20,-
29-JUN-2026,BANG,Bang Overseas Limited,SWAY FINANCIAL SERVICES,SELL,"70,293",27.39,-
29-JUN-2026,BANG,Bang Overseas Limited,SWAY FINANCIAL SERVICES,BUY,"1,73,190",27.05,-
29-JUN-2026,BLISSGVS,Bliss GVS Pharma Ltd,ARIAN INVESTMENT LTD,SELL,"11,50,000",490.00,-
29-JUN-2026,BLISSGVS,Bliss GVS Pharma Ltd,MATEUS LTD,BUY,"11,50,000",490.00,-
29-JUN-2026,CONNPLEX,Connplex Cinemas Limited,EXCELLENT SHARES AND FINANCE SERVICES PRIVATE LIMITED,BUY,"1,00,000",200.72,-
29-JUN-2026,CONNPLEX,Connplex Cinemas Limited,SHALIN ATULKUMAR PARIKH,SELL,"1,04,800",200.38,-
29-JUN-2026,EMAPARTNER,EMA Partners India Ltd,NEGEN UNDISCOVERED VALUE FUND,SELL,"1,15,000",89.98,-
