INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP,index_name
NIFTY MEDIA,1518.2,1536.2,1515.4,1509.35,1143.63,125159336,19-JUN-2026,NIFTY MEDIA
NIFTY MEDIA,1512.0,1525.7,1513.95,1502.25,679.55,66401460,18-JUN-2026,NIFTY MEDIA
NIFTY MEDIA,1516.5,1520.15,1505.65,1503.45,426.6,41001182,17-JUN-2026,NIFTY MEDIA
NIFTY MEDIA,1499.05,1515.2,1506.3,1489.8,861.0,76028236,16-JUN-2026,NIFTY MEDIA
NIFTY MEDIA,1500.95,1506.1,1485.5,1480.4,643.39,63368526,15-JUN-2026,NIFTY MEDIA
NIFTY PSU BANK,8334.05,8465.05,8386.85,8326.75,3759.16,171474564,15-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8423.65,8447.1,8307.9,8280.55,2543.27,126134108,14-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8374.55,8497.8,8460.6,8346.85,3019.63,153323372,13-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8255.15,8561.2,8451.6,8253.3,4958.72,248280985,10-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8096.25,8226.4,8203.2,8089.8,2112.51,103666984,09-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8238.0,8269.5,8072.3,8034.2,3601.13,172887749,08-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8351.9,8382.85,8298.3,8286.55,2813.87,120123003,07-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8409.65,8437.6,8333.95,8327.7,2259.9,106275083,06-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8554.6,8554.6,8407.6,8369.9,4116.05,200007116,03-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8622.2,8628.85,8539.35,8504.6,3849.38,161247849,02-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8525.2,8596.45,8576.6,8476.7,2163.95,114871612,01-JUL-2026,NIFTY PSU BANK
NIFTY PSU BANK,8583.15,8598.7,8492.65,8481.4,3066.18,140294223,30-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8631.4,8654.45,8553.85,8498.15,5385.91,288637859,29-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8684.5,8704.25,8636.1,8617.35,3337.97,136276171,25-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8577.7,8676.8,8628.2,8552.8,2438.46,99763592,24-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8778.95,8782.2,8591.0,8576.9,2606.26,118531561,23-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8737.4,8772.7,8763.9,8697.25,1872.6,101297721,22-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8757.15,8759.15,8716.5,8665.9,2163.14,116110773,19-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8743.05,8800.15,8770.7,8703.15,2610.21,138672885,18-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8590.6,8725.1,8713.1,8534.65,3656.46,418634958,17-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8617.15,8635.15,8563.2,8494.75,2102.41,99326315,16-JUN-2026,NIFTY PSU BANK
NIFTY PSU BANK,8663.55,8721.85,8581.3,8562.6,2790.44,148464526,15-JUN-2026,NIFTY PSU BANK
NIFTY HEALTHCARE,16518.35,16585.2,16507.8,16474.8,4420.74,30387660,15-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16278.75,16501.35,16441.45,16278.75,6067.63,64454030,14-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16307.85,16373.0,16295.9,16205.35,3557.99,27598792,13-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16325.85,16364.75,16337.8,16189.2,4049.95,31591500,10-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16142.7,16467.9,16307.25,16123.05,4897.9,39701145,09-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16333.2,16515.75,16145.75,16074.05,3901.37,29968338,08-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16482.3,16578.75,16343.9,16320.05,3289.98,24967366,07-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16473.6,16544.75,16481.35,16417.15,2890.92,28230497,06-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16222.75,16493.1,16441.45,16207.7,4739.74,59786794,03-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16126.0,16188.55,16150.9,16056.35,2428.28,19380012,02-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16192.8,16284.3,16060.95,16041.45,2593.53,24192119,01-JUL-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16143.0,16252.25,16139.75,16087.2,5274.8,36528964,30-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,16048.7,16272.65,16113.4,15964.85,9085.45,60322942,29-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,15968.85,16099.2,15963.4,15943.5,3270.88,26285777,25-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,15954.05,16056.85,15954.0,15933.9,3898.03,54550858,24-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,15876.45,16126.0,15918.55,15862.05,6689.59,128540430,23-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,15731.85,15843.95,15832.75,15666.1,3282.13,23636772,22-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,15539.5,15697.6,15669.0,15535.45,3645.45,25496161,19-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,15429.55,15579.65,15553.6,15394.4,3263.66,24641310,18-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,15457.2,15479.65,15403.15,15341.15,2494.93,18924428,17-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,15520.7,15538.25,15433.0,15348.6,2588.68,19949943,16-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY HEALTHCARE,15656.9,15657.9,15488.55,15472.85,3209.94,26335576,15-JUN-2026,NIFTY HEALTHCARE INDEX
NIFTY CONSR DURBL,38811.5,39028.0,38937.35,38710.15,5015.29,72062419,15-JUL-2026,NIFTY CONSUMER DURABLES
NIFTY CONSR DURBL,38537.75,38710.85,38656.95,38294.85,6824.67,107057526,14-JUL-2026,NIFTY CONSUMER DURABLES
NIFTY CONSR DURBL,38080.15,38765.65,38649.65,37788.15,10516.74,170537070,13-JUL-2026,NIFTY CONSUMER DURABLES
NIFTY CONSR DURBL,38206.65,38506.9,38208.9,38056.7,8987.12,126137281,10-JUL-2026,NIFTY CONSUMER DURABLES
NIFTY CONSR DURBL,37503.85,38090.5,37835.85,37473.75,8067.12,129349900,09-JUL-2026,NIFTY CONSUMER DURABLES
NIFTY CONSR DURBL,37578.25,37812.15,37209.6,37002.05,4064.43,63384131,08-JUL-2026,NIFTY CONSUMER DURABLES
NIFTY CONSR DURBL,37512.85,37810.55,37709.3,37290.0,4518.98,38669155,07-JUL-2026,NIFTY CONSUMER DURABLES
